Year,Month,Waste_Tonnes,Rainfall_Volume_mm,Ikorodu_Risk_Index,Is_Forecast
2022,JAN,12003.5,0.9747023150022506,23.703339238129516,0
2022,FEB,10623.5,1.543687597709699,27.022865194268988,0
2022,MAR,11950.0,2.693478913720608,44.13707301896127,0
2022,APR,11071.0,4.665319363805221,62.7207506766876,0
2022,MAY,11692.5,7.3700605357763,97.8669328145644,0
2022,JUN,13665.5,9.962037769715067,149.80172714204124,0
2022,JUL,22849.5,7.225015675189294,187.93749567023778,0
2022,AUG,15491.5,3.0559025507451825,62.83201436486899,0
2022,SEP,12289.0,8.12929648869374,112.18992454955738,0
2022,OCT,13398.0,6.554979539919579,101.22161587584252,0
2022,NOV,13960.5,2.1683962427942616,44.23239574752929,0
2022,DEC,14949.5,0.39925368249176485,20.91814292641064,0
2023,JAN,13456.0,0.9747023150022506,26.571594350670285,0
2023,FEB,10949.5,1.543687597709699,27.85210735112235,0
2023,MAR,7870.0,2.693478913720608,29.067679050981184,0
2023,APR,10681.0,4.665319363805221,60.51127612480356,0
2023,MAY,11007.5,7.3700605357763,92.13344134755764,0
2023,JUN,18718.0,9.962037769715067,205.18742297352665,0
2023,JUL,11120.0,7.225015675189294,91.46217430810495,0
2023,AUG,11526.0,3.0559025507451825,46.74833279988897,0
2023,SEP,10673.0,8.12929648869374,97.43698142382829,0
2023,OCT,11016.0,6.554979539919579,83.22565461175408,0
2023,NOV,10194.0,2.1683962427942616,32.29863129904471,0
2023,DEC,10885.5,0.39925368249176485,15.231575960764104,0
2024,JAN,10743.0,0.9747023150022506,21.21422697006918,0
2024,FEB,9406.0,1.543687597709699,23.925925544057428,0
2024,MAR,9714.0,2.693478913720608,35.87845416788199,0
2024,APR,9245.0,4.665319363805221,52.37587751837927,0
2024,MAY,9169.0,7.3700605357763,76.7450850525329,0
2024,JUN,9348.0,9.962037769715067,102.47312907129646,0
2024,JUL,11889.0,7.225015675189294,97.78721136232551,0
2024,AUG,11222.0,3.0559025507451825,45.51533842446244,0
2024,SEP,11247.0,8.12929648869374,102.67719760833849,0
2024,OCT,13447.0,6.554979539919579,101.59180987329859,0
2024,NOV,16221.0,2.1683962427942616,51.39455545436572,0
2024,DEC,12910.0,0.39925368249176485,18.06436504096868,0
2025,JAN,10803.46,0.9747023150022506,21.333617472034213,1
2025,FEB,9795.235,1.543687597709699,24.91601778615196,1
2025,MAR,9589.89,2.693478913720608,35.42005649990012,1
